run,k,K,lambda,n,gabor_delta_rel,gabor_supera_p95,conc_orient_delta,conc_orient_supera_p95,conc_banda_delta,conc_banda_supera_p95,gabor_delta,gabor_r2_base,r2_rec_int,frac_activa,frac_activa_vivos,kernels_vivos,kernels_muertos,kernels_saturados,enriquecimiento,dim_pca95_frac,coseno_max,align_enc_dec
k3-K16-l0.0,3,16,0.0,1,0.6509496655064306,1.0,-0.022639796137809753,0.0,-0.05472874641418457,0.0,0.07858669757843018,0.8792737722396851,0.9999692503340526,0.5765582323074341,0.4449434280395508,5.0,4.0,7.0,1.1380961537361145,0.3333333333333333,0.9999997019767761,0.5505759119987488
k3-K16-l28.284271247461902,3,16,28.284271247461902,1,0.3596929077488953,1.0,-0.01903170347213745,0.0,0.0036428868770599365,0.0,0.043424367904663086,0.8792737722396851,0.88328242756867,0.0785432904958725,0.09666856378316879,13.0,3.0,0.0,1.0794382989406586,0.6666666666666666,0.9212790727615356,0.6816977262496948
k5-K16-l0.0,5,16,0.0,1,0.6147565147682651,1.0,0.15535467863082886,1.0,-0.012079983949661255,0.0,0.29843199253082275,0.5145525336265564,0.9999856205485025,0.5623154640197754,0.0,0.0,7.0,9.0,0.8636084074775379,0.32,0.9024937152862549,0.5086554288864136
k5-K16-l28.284271247461902,5,16,28.284271247461902,1,0.19698329796572073,1.0,0.04729665815830231,1.0,0.003792405128479004,0.0,0.09562504291534424,0.5145525336265564,0.8753236792993114,0.06677515059709549,0.06677515059709549,16.0,0.0,0.0,0.9545313815275829,0.4,0.7186465859413147,0.8714296817779541
k7-K16-l0.0,7,16,0.0,1,0.7863985497541719,1.0,0.05842995643615723,1.0,-0.003566652536392212,0.0,0.5216695368289948,0.33663466572761536,0.9999060161211385,0.4997597336769104,0.500537097454071,2.0,7.0,7.0,1.5915130128463109,0.14285714285714285,0.8418137431144714,0.5344721078872681
k7-K16-l28.284271247461902,7,16,28.284271247461902,1,0.2869514759681847,1.0,-0.0024719834327697754,0.0,0.010465085506439209,0.0,0.190353661775589,0.33663466572761536,0.8828298086006526,0.05080309137701988,0.05080309137701988,16.0,0.0,0.0,0.7572699363032976,0.24489795918367346,0.7315175533294678,0.8321223855018616
k9-K16-l0.0,9,16,0.0,1,0.8360687868696687,1.0,0.03175432235002518,0.0,-0.03969523310661316,0.0,0.645805686712265,0.22756871581077576,0.9999432787443856,0.6858032941818237,0.33491814136505127,6.0,1.0,9.0,2.2743994519114494,0.04938271604938271,0.9493924975395203,0.5546920299530029
k9-K16-l28.284271247461902,9,16,28.284271247461902,1,0.34922960219947974,1.0,0.01532650738954544,0.0,0.03322640061378479,1.0,0.26975587010383606,0.22756871581077576,0.8853245444412106,0.04968554899096489,0.04968554899096489,16.0,0.0,0.0,0.6669865753501654,0.14814814814814814,0.3048594295978546,0.8255026936531067
